line_id,stage,name,stages_total,bucket,habitat,type1,type2,archetype,rarity,evolve_at,note
L001,1,KINDRAKE,3,CH1,lab gift,FLAME,,Wall,starter,16,"STARTER LINE - fortress drake (locked: quadruped armored dragon, NOT Charizard-like) | quadruped armored fortress drake; ember-veined cub → kiln-hot magma-cracked beast → walking citadel of molten basalt, low and immovable. NOT a fire-bird"
L001,2,KILNDRAKE,3,CH1,lab gift,FLAME,,Wall,starter,34,"STARTER LINE - fortress drake (locked: quadruped armored dragon, NOT Charizard-like) | quadruped armored fortress drake; ember-veined cub → kiln-hot magma-cracked beast → walking citadel of molten basalt, low and immovable. NOT a fire-bird"
L001,3,FORTDRAKE,3,CH1,lab gift,FLAME,DRAKE,Wall,starter,,"STARTER LINE - fortress drake (locked: quadruped armored dragon, NOT Charizard-like) | quadruped armored fortress drake; ember-veined cub → kiln-hot magma-cracked beast → walking citadel of molten basalt, low and immovable. NOT a fire-bird"
L002,1,GRUBLEAF,3,CH1,lab gift,NATURE,,Dodger,starter,16,"STARTER LINE — design with strong silhouette evolution arc | nimble leaf-tailed lizard → vine-whip coiled-spring → serpentine fern-wyrm; the agile glass-dancer, strong silhouette arc"
L002,2,VINESNAP,3,CH1,lab gift,NATURE,,Dodger,starter,34,"STARTER LINE — design with strong silhouette evolution arc | nimble leaf-tailed lizard → vine-whip coiled-spring → serpentine fern-wyrm; the agile glass-dancer, strong silhouette arc"
L002,3,WYRMFERN,3,CH1,lab gift,NATURE,,Dodger,starter,,"STARTER LINE — design with strong silhouette evolution arc | nimble leaf-tailed lizard → vine-whip coiled-spring → serpentine fern-wyrm; the agile glass-dancer, strong silhouette arc"
L003,1,SILTSKIP,3,CH1,lab gift,AQUA,,Counter-tank,starter,16,STARTER LINE - locked: mudskipper -> tidal leviathan (Counter-tank all stages) | sturdy broad-finned mudskipper → brackish slab-finned slapper → tidal leviathan/living breakwater; turns force back
L003,2,BRACKSLAP,3,CH1,lab gift,AQUA,,Counter-tank,starter,34,STARTER LINE - locked: mudskipper -> tidal leviathan (Counter-tank all stages) | sturdy broad-finned mudskipper → brackish slab-finned slapper → tidal leviathan/living breakwater; turns force back
L003,3,CRASHMAW,3,CH1,lab gift,AQUA,,Counter-tank,starter,,STARTER LINE - locked: mudskipper -> tidal leviathan (Counter-tank all stages) | sturdy broad-finned mudskipper → brackish slab-finned slapper → tidal leviathan/living breakwater; turns force back
L004,1,,1,POSTGAME,roaming/summit,BRAWN,,Brawler,legendary,,"STANCE BEAST (Aggressive) - locked: storm gorilla, beats thunder from its chest; fights pure Aggressive at absurd stats"
